,Year,G,Pos,AST,BLK,Player,FG,STL,PTS,TRB,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
403,1981.0,60.0,SG,76.0,2.0,Reggie Carter,59.0,22.0,169.0,69.0,2.3233333333333333,0.5800000000000001,2.9033333333333333,2.816666666666667,1.2666666666666666,1.15,0.03333333333333333,0.36666666666666653,0.9833333333333332
610,1981.0,79.0,SF,252.0,27.0,Mike O'Koren,365.0,86.0,870.0,478.0,8.80886075949367,2.849367088607595,11.658227848101266,11.012658227848101,3.1898734177215182,6.050632911392405,0.34177215189873417,1.0886075949367089,4.620253164556962
615,1981.0,82.0,C,144.0,214.0,Robert Parish*,635.0,81.0,1552.0,777.0,14.374390243902436,4.869512195121953,19.243902439024392,18.92682926829268,1.7560975609756098,9.475609756097562,2.609756097560976,0.9878048780487804,7.7439024390243905
2053,1985.0,63.0,C,31.0,127.0,Jawann Oldham,89.0,11.0,212.0,236.0,2.5952380952380953,2.155555555555556,4.750793650793652,3.3650793650793656,0.492063492063492,3.7460317460317465,2.015873015873016,0.1746031746031746,1.4126984126984128
1183,1983.0,81.0,C,112.0,275.0,Mark Eaton,146.0,24.0,351.0,462.0,3.490123456790123,3.388888888888889,6.879012345679013,4.333333333333333,1.3827160493827158,5.703703703703702,3.3950617283950617,0.2962962962962963,1.8024691358024687
3573,1989.0,28.0,C,32.0,5.0,Joe Kleine,59.0,15.0,171.0,137.0,4.714285714285714,2.171428571428572,6.885714285714287,6.107142857142858,1.1428571428571428,4.892857142857143,0.17857142857142858,0.5357142857142857,2.107142857142857
389,1981.0,45.0,C,21.0,14.0,Rickey Brown,83.0,9.0,182.0,166.0,3.1088888888888886,1.6288888888888893,4.7377777777777785,4.044444444444443,0.4666666666666667,3.688888888888889,0.3111111111111111,0.2,1.8444444444444448
3512,1989.0,38.0,PF,55.0,24.0,Dave Greenwood,105.0,30.0,294.0,238.0,5.98157894736842,2.9315789473684215,8.913157894736841,7.736842105263157,1.4473684210526316,6.2631578947368425,0.631578947368421,0.7894736842105263,2.763157894736842
289,1980.0,76.0,PF,145.0,79.0,Lonnie Shelton,425.0,92.0,1035.0,582.0,10.473684210526317,3.7381578947368426,14.211842105263155,13.61842105263158,1.9078947368421053,7.657894736842105,1.0394736842105263,1.2105263157894737,5.592105263157895
2302,1986.0,82.0,PF,54.0,49.0,A.C. Green,209.0,49.0,521.0,381.0,4.834146341463415,2.217073170731707,7.0512195121951216,6.353658536585367,0.6585365853658537,4.646341463414634,0.5975609756097561,0.5975609756097561,2.548780487804878
3078,1988.0,69.0,C,86.0,61.0,Petur Gudmundsson,139.0,18.0,395.0,323.0,4.457971014492753,2.2159420289855083,6.6739130434782625,5.72463768115942,1.2463768115942029,4.681159420289855,0.8840579710144928,0.2608695652173913,2.0144927536231885
3292,1988.0,69.0,C,68.0,73.0,LaSalle Thompson,215.0,54.0,550.0,427.0,6.08840579710145,3.027536231884058,9.115942028985508,7.971014492753622,0.9855072463768116,6.188405797101448,1.0579710144927537,0.7826086956521741,3.1159420289855078
3754,1989.0,4.0,PG,0.0,0.0,Andre Turner,3.0,2.0,6.0,3.0,1.1249999999999998,0.4500000000000001,1.5749999999999995,1.5,0.0,0.75,0.0,0.5,0.75
206,1980.0,31.0,PG,174.0,13.0,Ron Lee,84.0,84.0,225.0,90.0,6.474193548387097,2.1,8.574193548387097,7.258064516129032,5.612903225806452,2.9032258064516134,0.41935483870967744,2.7096774193548385,2.7096774193548385
3383,1989.0,9.0,PG,9.0,0.0,Steve Alford,3.0,1.0,7.0,3.0,0.7777777777777778,0.16666666666666669,0.9444444444444444,0.7777777777777778,1.0,0.3333333333333333,0.0,0.1111111111111111,0.3333333333333333
3119,1988.0,70.0,SF,49.0,26.0,Buck Johnson,155.0,30.0,378.0,168.0,4.141428571428572,1.2,5.3414285714285725,5.4,0.7,2.4,0.37142857142857133,0.42857142857142855,2.2142857142857144
970,1982.0,21.0,C,30.0,9.0,Swen Nater,101.0,6.0,262.0,192.0,9.499999999999998,3.871428571428572,13.37142857142857,12.476190476190474,1.4285714285714286,9.142857142857142,0.42857142857142855,0.2857142857142857,4.809523809523808
1295,1983.0,82.0,C,263.0,118.0,Bill Laimbeer,436.0,51.0,1119.0,993.0,10.725609756097562,5.46219512195122,16.18780487804878,13.646341463414636,3.2073170731707314,12.109756097560975,1.4390243902439024,0.6219512195121951,5.317073170731708
